,Rank,Player,Pos,"Team Currently With","Age At Signing","Start Year","End Year",Yrs,Value,"Average Salary","Average pct of Cap At Sign","Guarantee at Sign","Practical Guarantee",Year
139,40,Tyjae Spears,RB,"TEN
TEN",21,2023,2026,4,"$5,490,616","$1,372,654",0.61%,"$993,176","$993,176",rb
140,41,Devon Achane,RB,"MIA
MIA",21,2023,2026,4,"$5,437,449","$1,359,362",0.60%,"$954,508","$954,508",rb
141,42,Tank Bigsby,RB,"JAX
JAX",21,2023,2026,4,"$5,392,915","$1,348,229",0.60%,"$922,120","$922,120",rb
142,43,Rachaad White,RB,"TB
TB",22,2022,2025,4,"$5,129,999","$1,282,500",0.62%,"$910,908","$910,908",rb
143,44,Brian Robinson,RB,"WAS
WAS",22,2022,2025,4,"$5,044,908","$1,261,227",0.61%,"$849,024","$849,024",rb
144,45,Jaylen Wright,RB,"MIA
MIA",21,2024,2027,4,"$4,780,020","$1,195,005",0.47%,"$760,020","$760,020",rb
145,46,Bucky Irving,RB,"TB
TB",21,2024,2027,4,"$4,751,552","$1,187,888",0.47%,"$731,552","$731,552",rb
146,47,Will Shipley,RB,"PHI
PHI",21,2024,2027,4,"$4,736,964","$1,184,241",0.46%,"$716,964","$716,964",rb
147,48,Ray Davis,RB,"BUF
BUF",24,2024,2027,4,"$4,733,188","$1,183,297",0.46%,"$713,188","$713,188",rb
148,49,Isaac Guerendo,RB,"SF
SF",23,2024,2027,4,"$4,724,528","$1,181,132",0.46%,"$704,528","$704,528",rb
149,50,Sione Vaki,RB,"DET
DET",22,2024,2027,4,"$4,673,544","$1,168,386",0.46%,"$528,708","$528,708",rb
150,51,Roschon Johnson,RB,"CHI
CHI",22,2023,2026,4,"$4,608,688","$1,152,172",0.51%,"$768,688","$768,688",rb
151,52,Braelon Allen,RB,"NYJ
NYJ",20,2024,2027,4,"$4,548,708","$1,137,177",0.45%,"$528,708","$528,708",rb
152,53,Dameon Pierce,RB,"HOU
HOU",21,2022,2025,4,"$4,475,432","$1,118,858",0.54%,"$815,432","$815,432",rb
153,54,Zamir White,RB,"LV
LV",22,2022,2025,4,"$4,403,932","$1,100,983",0.53%,"$743,932","$743,932",rb
154,55,Pierre Strong,RB,"CLE
CLE",23,2022,2025,4,"$4,373,432","$1,093,358",0.53%,"$713,432","$713,432",rb
155,56,Audric Estimé,RB,"DEN
DEN",20,2024,2027,4,"$4,359,124","$1,089,781",0.43%,"$339,124","$339,124",rb
156,57,Hassan Haskins,RB,"LAC
LAC",22,2022,2025,4,"$4,352,220","$1,088,055",0.52%,"$692,220","$692,220",rb
157,58,Rasheen Ali,RB,"BAL
BAL",23,2024,2027,4,"$4,309,868","$1,077,467",0.42%,"$289,868","$289,868",rb
158,59,Tyrone Tracy,RB,"NYG
NYG",24,2024,2027,4,"$4,306,352","$1,076,588",0.42%,"$286,352","$286,352",rb
159,60,Keilan Robinson,RB,"JAX
JAX",24,2024,2027,4,"$4,301,956","$1,075,489",0.42%,"$281,956","$281,956",rb
160,61,Isaiah Davis,RB,"NYJ
NYJ",22,2024,2027,4,"$4,274,276","$1,068,569",0.42%,"$254,276","$254,276",rb
161,62,Kimani Vidal,RB,"LAC
LAC",22,2024,2027,4,"$4,227,436","$1,056,859",0.41%,"$207,436","$207,436",rb
162,63,Jase McClellan,RB,"ATL
ATL",21,2024,2027,4,"$4,214,368","$1,053,592",0.41%,"$194,368","$194,368",rb
163,64,Israel Abanikanda,RB,"SF
SF",20,2023,2026,4,"$4,179,776","$1,044,944",0.46%,"$339,776","$339,776",rb
164,65,Dylan Laube,RB,"LV
LV",24,2024,2027,4,"$4,175,192","$1,043,798",0.41%,"$155,192","$155,192",rb
165,66,Raheem Mostert,RB,"MIA
MIA",31,2024,2025,1,"$4,130,000","$4,130,000",1.62%,"$3,710,000","$3,710,000",rb
166,67,Chase Brown,RB,"CIN
CIN",22,2023,2026,4,"$4,126,156","$1,031,539",0.46%,"$286,156","$286,156",rb
167,68,Eric Gray,RB,"NYG
NYG",23,2023,2026,4,"$4,084,976","$1,021,244",0.45%,"$244,976","$244,976",rb
168,69,Travis Homer,RB,"CHI
CHI",24,2023,2024,2,"$4,000,000","$2,000,000",0.89%,"$1,750,000","$1,750,000",rb
169,70,Tyler Allgeier,RB,"ATL
ATL",21,2022,2025,4,"$3,993,896","$998,474",0.48%,"$333,896","$333,896",rb
170,71,Jerome Ford,RB,"CLE
CLE",22,2022,2025,4,"$3,982,148","$995,537",0.48%,"$322,148","$322,148",rb
171,72,Deuce Vaughn,RB,"DAL
DAL",21,2023,2026,4,"$3,973,336","$993,334",0.44%,"$133,336","$133,336",rb
172,73,Kyren Williams,RB,"LAR
LAR",21,2022,2025,4,"$3,970,404","$992,601",0.48%,"$310,404","$310,404",rb
173,74,Ty Chandler,RB,"MIN
MIN",23,2022,2025,4,"$3,958,840","$989,710",0.48%,"$298,840","$298,840",rb
174,75,Kenny McIntosh,RB,"SEA
SEA",23,2023,2026,4,"$3,930,852","$982,713",0.44%,"$90,852","$90,852",rb
175,76,Kenneth Gainwell,RB,"PHI
PHI",21,2021,2024,4,"$3,815,528","$953,882",0.52%,"$335,528","$335,528",rb
176,77,Isiah Pacheco,RB,"KC
KC",22,2022,2025,4,"$3,739,108","$934,777",0.45%,"$79,108","$79,108",rb
177,78,Avery Williams,RB,"ATL
ATL",26,2021,2024,4,"$3,720,152","$930,038",0.51%,"$240,152","$240,152",rb
178,79,Elijah Mitchell,RB,"SF
SF",22,2021,2024,4,"$3,663,568","$915,892",0.50%,"$183,568","$183,568",rb
179,80,Chris Evans,RB,"CIN
CIN",23,2021,2024,4,"$3,652,888","$913,222",0.50%,"$172,888","$172,888",rb
180,81,Khalil Herbert,RB,"CIN
CIN",22,2021,2024,4,"$3,610,708","$902,677",0.49%,"$130,708","$130,708",rb
